sku,categoria,marca,descricao,preco_tabela,custo,fornecedor
SKU-0220,Água,Fonte Azul,"Fonte Azul Água Garrafa 1,5L cx6",19.25,15.51,Comercial Pedra Branca
SKU-0221,Refrigerante,Horizonte,Horizonte Refrigerante PET 2L cx6,63.17,46.51,Distribuidora Vale Verde
SKU-0222,Suco,Frutta Viva,Frutta Viva Suco Caixa 1L cx12,77.24,57.83,Envasadora Minas Sul
SKU-0223,Cerveja,Serra Dourada,Serra Dourada Cerveja Lata 350ml cx12,85.14,58.49,Comercial Pedra Branca
SKU-0224,Água,Fonte Azul,Fonte Azul Água Garrafa 500ml cx12,27.73,19.97,Distribuidora Vale Verde
SKU-0225,Energético,Voltz,Voltz Energético Lata 250ml cx6,95.04,71.72,Bebidas Mantiqueira S.A.
SKU-0226,Energético,Voltz,Voltz Energético Lata 250ml cx6,106.72,81.66,Distribuidora Vale Verde
SKU-0227,Energético,Trovão,Trovão Energético Lata 473ml cx6,155.88,122.91,Distribuidora Vale Verde
SKU-0228,Suco,Frutta Viva,Frutta Viva Suco Garrafa 300ml cx12,36.33,24.30,Grupo Serrano Bebidas
SKU-0229,Cerveja,Imperial Minas,Imperial Minas Cerveja Lata 350ml cx12,94.15,63.21,Bebidas Mantiqueira S.A.
SKU-0230,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Long Neck 355ml cx24,59.08,48.31,Distribuidora Vale Verde
SKU-0231,Refrigerante,Horizonte,Horizonte Refrigerante Lata 350ml cx12,44.06,28.95,Bebidas Mantiqueira S.A.
SKU-0232,Cerveja,Alpina,Alpina Cerveja Lata 473ml cx12,100.18,80.07,Bebidas Mantiqueira S.A.
SKU-0233,Água,Fonte Azul,Fonte Azul Água Garrafa 500ml cx12,39.40,32.01,Fábrica Alto da Serra
SKU-0234,Energético,Kraft Energy,Kraft Energy Energético Lata 473ml cx6,138.17,97.95,Envasadora Minas Sul
SKU-0235,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Lata 350ml cx12,84.46,65.42,Fábrica Alto da Serra
SKU-0236,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Lata 473ml cx12,73.22,55.32,Distribuidora Vale Verde
SKU-0237,Cerveja,Imperial Minas,Imperial Minas Cerveja Garrafa 600ml cx12,49.37,39.57,Distribuidora Vale Verde
SKU-0238,Suco,Frutta Viva,Frutta Viva Suco Garrafa 300ml cx12,39.49,27.19,Comercial Pedra Branca
SKU-0239,Cerveja,Vale do Ouro,Vale do Ouro Cerveja Garrafa 600ml cx12,82.14,64.18,Bebidas Mantiqueira S.A.
SKU-0240,Água,Cristal da Serra,Cristal da Serra Água Garrafa 500ml cx12,21.78,15.26,Fábrica Alto da Serra
SKU-0241,Cerveja,Imperial Minas,Imperial Minas Cerveja Lata 350ml cx12,80.27,52.64,Bebidas Mantiqueira S.A.
SKU-0242,Água,Minas Pura,Minas Pura Água Galão 20L un,15.63,11.84,Envasadora Minas Sul
SKU-0243,Suco,Serra Verde,"Serra Verde Suco PET 1,5L cx6",72.83,54.83,Fábrica Alto da Serra
SKU-0244,Refrigerante,Horizonte,Horizonte Refrigerante PET 2L cx6,45.99,36.01,Grupo Serrano Bebidas
SKU-0245,Água,Minas Pura,Minas Pura Água Garrafa 500ml cx12,37.42,24.39,Comercial Pedra Branca
SKU-0246,Cerveja,Alpina,Alpina Cerveja Lata 473ml cx12,64.52,48.43,Comercial Pedra Branca
SKU-0247,Cerveja,Alpina,Alpina Cerveja Garrafa 600ml cx12,110.88,88.94,Envasadora Minas Sul
SKU-0248,Cerveja,Alpina,Alpina Cerveja Lata 350ml cx12,96.53,73.22,Distribuidora Vale Verde
SKU-0249,Cerveja,Boêmia Mineira,Boêmia Mineira Cerveja Long Neck 355ml cx24,106.90,76.12,Fábrica Alto da Serra
SKU-0250,Cerveja,Alpina,Alpina Cerveja Garrafa 600ml cx12,86.85,58.30,Distribuidora Vale Verde
